year,month,service_type,url,has_parquet,http_status,content_length,checked_at,notes
2021,5,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,6,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,6,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,7,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,7,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,8,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,8,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,9,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,9,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,10,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,10,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,11,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,11,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,12,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2021-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2021,12,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2021-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,1,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,1,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2022-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,2,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,2,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2022-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2022-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2022-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,5,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,5,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2022-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,6,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,6,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2022-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,7,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,7,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2022-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,8,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2022-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2022,8,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2022-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
