service_type,year,month,url,has_parquet,http_status,content_length,checked_at
green,2016,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-08.parquet,True,200,19290983,2025-09-22T03:18:48Z
green,2016,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-09.parquet,True,200,18039876,2025-09-22T03:18:48Z
green,2016,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-10.parquet,True,200,19277013,2025-09-22T03:18:49Z
green,2016,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-11.parquet,True,200,17783235,2025-09-22T03:18:49Z
green,2016,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-12.parquet,True,200,18755368,2025-09-22T03:18:49Z
green,2017,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-01.parquet,True,200,16620837,2025-09-22T03:18:50Z
green,2017,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-02.parquet,True,200,15850278,2025-09-22T03:18:50Z
green,2017,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-03.parquet,True,200,17764883,2025-09-22T03:18:50Z
green,2017,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-04.parquet,True,200,16746272,2025-09-22T03:18:50Z
green,2017,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-05.parquet,True,200,16504018,2025-09-22T03:18:51Z
green,2017,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-06.parquet,True,200,15295902,2025-09-22T03:18:51Z
green,2017,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-07.parquet,True,200,14450872,2025-09-22T03:18:51Z
green,2017,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-08.parquet,True,200,13762500,2025-09-22T03:18:51Z
green,2017,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-09.parquet,True,200,14021569,2025-09-22T03:18:51Z
green,2017,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-10.parquet,True,200,14605863,2025-09-22T03:18:52Z
green,2017,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-11.parquet,True,200,13843027,2025-09-22T03:18:52Z
green,2017,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-12.parquet,True,200,14221060,2025-09-22T03:18:52Z
green,2018,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-01.parquet,True,200,12588773,2025-09-22T03:18:52Z
green,2018,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-02.parquet,True,200,12261328,2025-09-22T03:18:53Z
green,2018,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-03.parquet,True,200,13304186,2025-09-22T03:18:53Z
green,2018,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-04.parquet,True,200,12754439,2025-09-22T03:18:53Z
green,2018,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-05.parquet,True,200,12772553,2025-09-22T03:18:54Z
green,2018,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-06.parquet,True,200,11931153,2025-09-22T03:18:54Z
green,2018,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-07.parquet,True,200,11167620,2025-09-22T03:18:54Z
green,2018,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-08.parquet,True,200,11016416,2025-09-22T03:18:55Z
green,2018,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-09.parquet,True,200,11232183,2025-09-22T03:18:55Z
green,2018,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-10.parquet,True,200,11961961,2025-09-22T03:18:55Z
green,2018,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-11.parquet,True,200,11092796,2025-09-22T03:18:55Z
green,2018,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-12.parquet,True,200,11783052,2025-09-22T03:18:56Z
green,2019,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-01.parquet,True,200,11071980,2025-09-22T03:18:56Z
green,2019,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-02.parquet,True,200,10316792,2025-09-22T03:18:56Z
green,2019,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-03.parquet,True,200,10760872,2025-09-22T03:18:56Z
green,2019,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-04.parquet,True,200,9412998,2025-09-22T03:18:56Z
green,2019,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-05.parquet,True,200,9050672,2025-09-22T03:18:57Z
